1,QUWICK DE BIBIANA,JUL DE BIBIANA,KAPUCINE DU PORTILLON,RHUM DU MURY-MARAIS,FURIE DE DAMRE,MUSCARI DU MURY-MARAIS,HELLO DU PORTILLON
2,FAIRY FIREMAN DU MURY-MARAIS,CHERUBINO,FAIRY FIREFLY,FAIRY LIGHT,CHOCOLATE CREAM,SILVER FOX,FLEURETTE
3,CHERUBINO,FAIRY LIGHT,CHOCOLATE CREAM,ELECTRIC LIGHT,FAIRY TALE,SILVER FOX,CROWN GIFT
4,FAIRY FIREFLY,SILVER FOX,FLEURETTE,HELIUM,FURIOSA,FAIRY LIGHT,FERULA
5,SILVER FOX,HELIUM,FURIOSA,HALDOR,HELGA,PUCK OF COLWORTH,RUBY OF HOLMWOOD
6,HELIUM,HALDOR,HELGA,DUNCAN,DINAH,LORD OF THE ISLES,FRA
7,FURIOSA,PUCK OF COLWORTH,RUBY OF HOLMWOOD,ROWAN OF COLWORTH,SPEEDWELL OF FOURWENTS,MUSHROOM,NASHA OF HOLMWOOD
8,FAIRY TALE,HELIUM,FREESIA,HALDOR,HELGA,BONAPARTE,FUSCHIA
9,BONAPARTE,ODIN,BEAUTY,JACK,NUGGET,LORD OF THE ISLES,DARLING
10,FYLGIA,ODIN,FRIDGERA,JACK,NUGGET,PRINCE OF THULE,1FLORA
11,HELGA,LORD OF THE ISLES,FRA,JACK,DANDY,PRINCE OF THULE,HETHE